acn	Achang (Longchuan)	Achang 28	6.1.1 - Burmish	1676	
xia	Achang (Xiandao)	Xiandao 29	6.1.1 - Burmish	1471	
adi	Bokar	Bokar 24	1.1.1.1 - Western Tani	1770	
bxd	Bola (Luxi)	Bola 32	6.1.1 - Burmish	1777	
mya	Burmese (Rangoon)	Burmese (Rangoon) 27	6.1.1 - Burmish	1883	
adx	Tibetan (Alike)	Tibetan (Alike) 05	2.1.2.1 - Tibetan	1346	
n/a	Burmese (Written)	WB 26	6.1.1 - Burmish	1875	
mhu	Darang [Taraon]	Darang Deng 22	1.1.2 - Deng	1108	
ero	Daofu	Daofu 12	3.3 - rGyalrongic	1944	
kaf	Gazhuo	Gazhuo 47	6.1.2.1 - Northern Loloish	1515	
mxj	Kaman [Miju]	Geman Deng 23	1.1.2 - Deng	1138	
gqi	Guiqiong	Guiqiong 16	3.2 - Qiangic	1522	
jya	rGyalrong (Maerkang)	rGyarong 11	3.3.1 - rGyalrong	1816	
enu	Hani (LÃ¼chun)	Hani (Luchun) 41	6.1.2.3 - Southern Loloish	1746	
how	Hani (Mojiang)	Hani (Mojiang) 42	6.1.2.3 - Southern Loloish	1783	
clk	Yidu	Yidu 25	1.1.2 - Deng	969	
kac	Jingpho	Jingpho 19	1.7.3.1 - Jingpho	1784	
jiu	Jinuo	Jinuo 44	6.1.2.2 - Central Loloish	1766	
lhu	Lahu (Lancang)	Lahu (Lancang) 43	6.1.2.2 - Central Loloish	1827	
lsi	Leqi (Luxi)	Leqi 33	6.1.1 - Burmish	1527	
lis	Lisu	Lisu 40	6.1.2.2 - Central Loloish	1797	
mvm	Muya	Muya 15	3.2 - Qiangic	1872	
mhx	Langsu (Luxi)	Langsu 31	6.1.1 - Burmish	1641	
tsj	Motuo Menba	Motuo Menba 07	2.1.2 - Bodic	1455	
twm	Cuona Menba	Cuona Menba 06	2.1.2 - Bodic	1741	
nmy	Namuyi	Namuyi 46	3.2 - Qiangic	1783	
nbf	Naxi	Naxi 45	6.2 - Naxi	1806	
nun	Nung	Nung 21	4 - Nungic	1259	
nuf	Nusu (Central)	Nusu 34	6.1.2.1 - Northern Loloish	1551	
ysn	Yi (Sani)	Yi (Sani) 39	6.1.2.2 - Central Loloish	1707	
pmj	Pumi (Lanping)	Pumi (Lanping) 09	3.2 - Qiangic	1854	
pmi	Pumi (Jiulong)	Pumi (Jiulong) 10	3.2 - Qiangic	1469	
cng	Qiang (Mawo)	Qiang (Mao) 08	3.2 - Qiangic	1902	
ers	Lyuzu	Lusu 18	3.2 - Qiangic	1783	
ksw	Karen	Karen 50	7 - Karenic	1268	
sxg	Xumi	Shixing 17	3.2 - Qiangic	1800	
adx	Tibetan (Xiahe)	Tibetan (Xiahe) 04	2.1.2.1 - Tibetan	1702	
khq	Tibetan (Batang)	Tibetan (Batang) 03	2.1.2.1 - Tibetan	1900	
bod	Tibetan (Lhasa)	Tibetan (Lhasa) 02	2.1.2.1 - Tibetan	2136	
xct	Tibetan (Written)	WT 01	2.1.2.1 - Tibetan	1999	
duu	Dulong	Dulong 20	4 - Nungic	1724	
tji	Tujia	Tujia 49	5 - Tujia	1246	
ycl	Yi (Nanhua)	Yi (Nanhua) 37	6.1.2.1 - Northern Loloish	1790	
iii	Yi (Xide)	Yi (Xide) 35	6.1.2.1 - Northern Loloish	1992	
atb	Atsi [Zaiwa]	Zaiwa 30	6.1.1 - Burmish	1843	
qvy	Queyu (Xinlong)	Queyu (Xinlong) 13	3.2 - Qiangic	1690	
zhb	Zhaba (Daofu County)	Zhaba 14	3.2 - Qiangic	1877	
ywq	Yi (Wuding)	Yi (Wuding) 38	6.1.2.1 - Northern Loloish	1895	
n/a	Yi (Weishan)	Yi (Weishan) 36	6.1.2.1 - Northern Loloish	1817	
bca	Bai (Jianchuan)	Bai 48	8 - Bai	1966
