	Mann number	Nishi Number	WB	OB	Reconstruction	Nishi meaning	Nishi Achang	Nishi Achang source	Nishi Xiandao	Nishi Xiandao source	Nishi Zaiwa/Atsi	Nishi Zaiwa/Atsi source	Nishi Leqi/Lashi	Nishi Leqi/Lashi source	Nishi Langsu/Maru	Nishi Langsu/Maru source	Nishi Bola	Nishi Bola source
		238	-pha		p-	male (cock)			-phɔ³¹	Sun1991	-pho⁵⁵	Sun1991	-pho⁵⁵	Sun1991	-phɔ⁵⁵	Sun1991	-pha³⁵	Sun1991
		239				be cloudy	tʂau³⁵	Sun1991	tau³¹	Sun1991	tsau⁵⁵	Sun1991	tsa:u⁵⁵	Sun1991				
		240	kweɂ			bend; turn			xoi³⁵	Sun1991	kọi⁵⁵	Sun1991	kɔi⁵⁵	Sun1991	kɔ̣̣⁵⁵	Sun1991	kụi³⁵	Sun1991
		241	-cuṃ			pair	tɕɔm³⁵	Sun1991	cum³¹	Sun1991	tsum⁵⁵	Sun1991	tsɔm⁵⁵	Sun1991	tsam⁵⁵	Sun1991	tsam³⁵	Sun1991
	098a	242	ɂu			egg	uɂ³⁵	Sun1991	u³¹	Sun1991	-u⁵⁵	Sun1991	ụ⁵³	Sun1991	ạu⁵⁵	Sun1991	ụ⁵⁵	Sun1991
		243	-ma			female suffix	-mɔɂ³⁵	Sun1991	-mɔ³¹	Sun1991	-mo⁵⁵	Sun1991	-mo⁵⁵	Sun1991	mɔ⁵⁵	Sun1991	maɂ³¹	Dai1991
		244	-mhya		my-	approximately	ñeɂ³⁵	Sun1991	n̥ɛ³¹	Sun1991	-mjọ⁵⁵	Xu1984	-mjo⁵⁵	Sun1991	mɔ̣̣⁵⁵	Sun1991		
		245	ñhi			burn grass	ŋ̊eɂ⁵⁵	Sun1991	n̥ɛ³⁵	Sun1991	ŋjẹ⁵⁵	Sun1991	ŋɛ̣̣⁵⁵	Sun1991	ŋạ⁵⁵	Sun1991	ŋjɛ³⁵	Sun1991
		247				pen in (sheep)	l̥ɔŋ³⁵	Sun1991	l̥uŋ³¹	Sun1991	lụŋ⁵⁵	Sun1991					ạuŋ³⁵	Sun1991
		248				turn inside out	phuɂ⁵⁵	Sun1991	phuɂ⁵⁵	Sun1991	phuɂ⁵⁵-	Sun1991	phuk⁵⁵-	Sun1991	phauk⁵⁵	Sun1991	phauɂ⁵⁵	Sun1991
		249	phak-			leaf									phɔɂ⁵⁵	Sun1991		
		250	phyak			pull down; unseam	tʂhuaɂ⁵⁵	Sun1991	tʂhɔɂ⁵⁵	Sun1991	phjoɂ⁵⁵	Sun1991	phjɔ:ɂ⁵⁵	Sun1991	phjoɂ⁵⁵	Sun1991	phjaɂ⁵⁵	Sun1991
		251	pyok			lose; mislay	tʂɔɂ⁵⁵	Sun1991	tʂuɂ⁵⁵	Sun1991	phjuɂ⁵⁵-	Sun1991			-phjauk⁵⁵	Sun1991	-phauɂ⁵⁵	Sun1991
		252	phrat		pry-	snap (thread)	phʐat³⁵	Sun1991	phɛt⁵⁵	Sun1991	phit⁵⁵	Sun1991			phjik⁵⁵	Sun1991	phjɔt⁵⁵	Sun1991
		253	thut			take out; pull out	thut⁵⁵-	Sun1991	thut⁵⁵	Sun1991	-thoɂ⁵⁵	Sun1991			-thuk⁵⁵	Sun1991	-thɔɂ⁵⁵	Sun1991
	384a	254	thak			sharp	thɔɂ⁵⁵	Sun1991			thoɂ⁵⁵	Sun1991	thɔ:ɂ⁵⁵	Sun1991	thɔɂ⁵⁵	Sun1991	thaɂ⁵⁵	Sun1991
		255	thok			lean on; support			thuɂ⁵⁵	Sun1991	thuɂ⁵⁵	Sun1991	thu:k⁵⁵	Sun1991	thauk⁵⁵	Sun1991	thauɂ⁵⁵	Sun1991
		256	thwak			come out	thoɂ⁵⁵-	Sun1991	thoɂ⁵⁵	Sun1991	thoɂ⁵⁵	Sun1991	thuɂ⁵⁵	Sun1991	thuk⁵⁵	Sun1991	thɔɂ⁵⁵	Sun1991
		257	chap			repay	tɕhap⁵⁵	Sun1991			tshap⁵⁵	Sun1991	tsha:p⁵⁵	Sun1991	tshɛɂ⁵⁵	Sun1991		
	075a	258	chat			deer	tɕhet⁵⁵	Sun1991	thɛt⁵⁵	Sun1991	tshat⁵⁵	Sun1991	tshat⁵⁵	Sun1991	tshɛt⁵⁵	Sun1991	tʃhɛt³¹	Sun1991
		259	chak			connect, join					tshoɂ⁵⁵	Sun1991	tshɔ:ɂ⁵⁵	Sun1991	tshɔɂ⁵⁵	Sun1991	tshaɂ³¹	Sun1991
		260	chut			tear up, rip	tsheɂ⁵⁵	Sun1991	tshiɂ⁵⁵	Sun1991	tʃheɂ⁵⁵	Sun1991	tʃhɛ:ɂ⁵⁵	Sun1991	tʃhat⁵⁵	Sun1991	tʃhak⁵⁵	Sun1991
		261	chok			chisel							tʃhɔɂ⁵⁵-	Sun1991	tʃhɔɂ⁵⁵-	Sun1991	tʃhaɂ⁵⁵	Sun1991
		262	-kup			pigsty, cowshed					-khup⁵⁵	Sun1991	-khɔm³³	Sun1991	-khap⁵⁵	Sun1991	-khap⁵⁵	Sun1991
	140a	263	khyak			navel			tɕhɔɂ⁵⁵	Sun1991	tʃhoɂ⁵⁵	Sun1991	tʃhɔɂ⁵⁵	Sun1991	tʃhɔɂ⁵⁵	Sun1991	tʃhaɂ⁵⁵	Sun1991
		264		khyut		dusk, twilight	-tɕhot³⁵	Sun1991	-chot⁵⁵	Sun1991			tʃhɔɂ⁵⁵-	Sun1991	tʃhaɂ⁵⁵-	Sun1991		
		265		khlyap		round object (clf.)					khjap⁵⁵	Sun1991	khjap⁵⁵	Sun1991	khjɛɂ⁵⁵	Sun1991	khjɛɂ⁵⁵	Sun1991
	200a	266		khlup		sew	xʐoɂ⁵⁵	Sun1991	chup⁵⁵	Sun1991	khjup⁵⁵	Sun1991	khju:p⁵⁵	Sun1991	khjap⁵⁵	Sun1991	khjap⁵⁵	Sun1991
	327a	267	khrok			six	xʐoɂ⁵⁵	Sun1991	chuɂ⁵⁵	Sun1991	khjuɂ⁵⁵	Sun1991	khjuk⁵⁵	Sun1991	khjauk⁵⁵	Sun1991	khjauɂ⁵⁵	Sun1991
		268	khwak			bowl	-xoɂ⁵⁵	Sun1991	xoɂ⁵⁵	Sun1991	khoɂ⁵⁵	Sun1991	khuɂ⁵⁵	Sun1991	khuk⁵⁵	Sun1991	khɔɂ⁵⁵	Sun1991
		269		khlwat		take off	kʐek⁵⁵	Sun1991	khɯk⁵⁵	Sun1991	khjut⁵⁵	Sun1991	khju:t⁵⁵	Sun1991	khjɛt⁵⁵	Sun1991	khjɔt⁵⁵	Sun1991
	290b	270	sut			wipe; erase	sut⁵⁵	Sun1991	sut⁵⁵	Sun1991	sut⁵⁵	Sun1991	su:t⁵⁵	Sun1991			sɔt⁵⁵	Sun1991
		271	-sak			air; breath; steam	-sɔɂ⁵⁵	Sun1991	sɔɂ⁵⁵	Sun1991	soɂ⁵⁵	Sun1991	sɔɂ⁵⁵	Sun1991	soɂ⁵⁵	Sun1991	saɂ⁵⁵	Sun1991
	232a	272	sok			to drink	ʂɔɂ⁵⁵	Sun1991	ʂuɂ⁵⁵	Sun1991	ʃuɂ⁵⁵	Sun1991	ʃu:k⁵⁵	Sun1991	ʃauk⁵⁵	Sun1991	ʃauɂ⁵⁵	Sun1991
		273	tap			to stick down			tap⁵⁵	Sun1991	tap²¹	Sun1991	tạ:p⁵⁵	Sun1991	-tɛ̣̣ɂ⁵⁵	Sun1991	tɛɂ³¹	Sun1991
		274				to paste, stick	thap⁵⁵	Sun1991	thap⁵⁵	Sun1991	tap⁵⁵	Sun1991	tạ:p⁵⁵	Sun1991	tɛ̣̣ɂ⁵⁵	Sun1991	tɛ̣̣ɂ⁵⁵	Sun1991
	142a	275	chut			lungs	-tɕhot⁵⁵	Sun1991	-chut⁵⁵	Sun1991	tsụt⁵⁵	Sun1991	tsɔ̣t⁵⁵	Sun1991	tsạt⁵⁵	Sun1991	tsɔ̣t⁵⁵	Sun1991
		276	cwap			ring			-tʂɔp⁵⁵	Sun1991	-tʃọ̣p⁵⁵	Sun1991	-tʃɔ̣̣ɂ⁵⁵	Sun1991	-tʃɔɂ⁵⁵	Sun1991		
		277	cwat			wet			coɂ⁵⁵	Sun1991			tʃụ:ɂ⁵⁵	Sun1991	tʃụk⁵⁵	Sun1991	tʃɔ̣ɂ⁵⁵	Sun1991
		278				do, make	xot⁵⁵	Sun1991	xut⁵⁵	Sun1991	kụt⁵⁵	Sun1991	kụ:t⁵⁵	Sun1991	kạt⁵⁵	Sun1991		
		279	khat			put in (to); pack	xat⁵⁵	Sun1991	xat⁵⁵	Sun1991	kạt⁵⁵	Sun1991	kạ:t⁵⁵	Sun1991	kɛ̣̣ɂ⁵⁵	Sun1991	kɛ̣̣ɂ⁵⁵	Sun1991
		280	-khak			branch, twig			-xɔɂ⁵⁵	Sun1991			-kɔ̣ɂ⁵⁵	Sun1991	-kɔ̣ɂ⁵⁵	Sun1991	-kạ̣̣ɂ⁵⁵	Sun1991
		281	-kyap			narrow					tʃạp⁵⁵	Sun1991	tʃạp⁵⁵	Sun1991	tʃɛ̣̣ɂ⁵⁵	Sun1991	tʃɛ̣̣ɂ⁵⁵	Sun1991
	255a	282		khyat		to love					tʃịt⁵⁵-	Sun1991						
		283				slippery; smooth	tʂuat⁵⁵	Sun1991	chɔt³⁵	Sun1991	tʃụt⁵⁵	Sun1991	tʃụ:t⁵⁵	Sun1991	tʃạt⁵⁵	Sun1991	tʃɔ̣t⁵⁵	Sun1991
		284	khyak			cook, boil					tʃọ̣ɂ⁵⁵	Sun1991	tʃạ:u⁵³	Sun1991	tʃɔ̣̣ɂ⁵⁵	Sun1991	tʃaɂ⁵⁵	Sun1991
		285	khyap			scales					-kjạp⁵⁵	Sun1991			-kjɛ̣̣ɂ⁵⁵	Sun1991	-kjɛ̣̣ɂ⁵⁵	Sun1991
		286	khrok			frighten, scare	xʐoɂ⁵⁵	Sun1991			kjụɂ⁵⁵	Sun1991	kjụ:k⁵⁵	Sun1991	kjạuk⁵⁵	Sun1991	kjạuɂ⁵⁵	Sun1991
	261a	287	ɂip			sleep	e³¹|it⁵⁵	Sun1991	it⁵⁵	Sun1991	jụp⁵⁵	Sun1991	jụ:p⁵⁵	Sun1991	jap³¹	Sun1991	jạp⁵⁵	Sun1991
		288				bird's nest	-sut⁵⁵	Sun1991	-sut⁵⁵	Sun1991	-sut⁵⁵	Sun1991	-sɔ̣̣t⁵⁵	Sun1991	-sat⁵⁵	Sun1991	-sɔt⁵⁵	Sun1991
84	038a	289	sac			tree	saŋ³¹-	Sun1991	ʂɯk⁵⁵	Sun1991	sik⁵⁵	Sun1991	sə:k⁵⁵	Sun1991	sạk⁵⁵	Sun1991	sak⁵⁵	Sun1991
26	315a	290	sat			kill	sat⁵⁵	Sun1991	sat⁵⁵	Sun1991	sat⁵⁵ 	Xu1984	sạ:t⁵⁵	Sun1991	sɛ̣̣ɂ⁵⁵	Sun1991	sɛ̣̣ɂ⁵⁵	Sun1991
	368b	291	sac			new	ʂək⁵⁵	Sun1991	ʂɯk⁵⁵	Sun1991	a²¹sik⁵⁵	Sun1991	sə̣:k⁵⁵	Sun1991	sạk⁵⁵	Sun1991	sak⁵⁵	Sun1991
27	239a	292	sak			breath, life	-sak⁵⁵	Sun1991	-sak⁵⁵	Sun1991			-sạk⁵⁵	Sun1991				
		293		mhlup		bury	m̥ʐop⁵⁵	Sun1991	m̥ʐɔp⁵⁵	Sun1991	mjụp⁵⁵	Sun1991	ŋjụ:p⁵⁵	Sun1991	ŋjạp⁵⁵	Sun1991	ŋjạp⁵⁵	Sun1991
97		294	nhap			snot	n̥ap⁵⁵	Sun1991	n̥ap⁵⁵	Sun1991	nạp⁵⁵	Sun1991	nạp⁵⁵	Sun1991	nɛ̣̣ɂ⁵⁵	Sun1991	nẹɂ⁵⁵	Sun1991
	130a	295	nhut			mouth	ñ̥ot⁵⁵	Sun1991	n̥ut⁵⁵	Sun1991	nụt⁵⁵	Sun1991	nuạt⁵⁵	Sun1991	nạt⁵⁵	Sun1991	nɔ̣t⁵⁵	Sun1991
	141a	296	nhac			heart	ña⁵⁵-	Sun1991	n̥ɔɂ³¹-	Sun1991	nịk-⁵⁵	Sun1991	nə̣k⁵⁵-	Sun1991	nạk⁵⁵-	Sun1991	nạk⁵⁵-	Sun1991
	328a	297	nhac			seven	ñit⁵⁵	Sun1991	nit⁵⁵	Sun1991	ŋjit⁵⁵	Sun1991	ŋjɛ̣̣t⁵⁵	Sun1991	nạt⁵⁵	Sun1991	nɔ̣t⁵⁵	Sun1991
		298	hut		ɂŋ-	be					ŋụt⁵⁵	Sun1991	ŋụ:t⁵⁵	Sun1991	ŋat³¹	Sun1991	?ŋɔt⁵⁵	Sun1991
	093a	299	ṅhak			bird	m̥ɔɂ⁵⁵	Sun1991	ŋ̊ɔɂ⁵⁵	Sun1991	ŋọ̣ɂ⁵⁵	Sun1991	ŋọ̣ɂ⁵⁵	Sun1991	ŋọ̣ɂ⁵⁵	Sun1991	ŋạɂ⁵⁵	Sun1991
	329a	300	rhac	rhyat		eight	ɕet⁵⁵	Sun1991	çɛt⁵⁵	Sun1991	ʃit⁵⁵	Sun1991	ʃɛ̣̣t⁵⁵	Sun1991	ʃɛɂ⁵⁵	Sun1991	ʃɛɂ⁵⁵	Sun1991
30		301	rhak			be bashful, shy	sɔɂ⁵⁵	Sun1991	sɔɂ⁵⁵	Sun1991	xoɂ⁵⁵	Sun1991	ʃɔ̣:ɂ⁵⁵	Sun1991	xɔɂ⁵⁵	Sun1991	xaɂ⁵⁵	Sun1991
		302	-rwak		ɂrw-	leaf	-xʐoɂ⁵⁵	Sun1991	-xʐoɂ⁵⁵	Sun1991	-xaɂ⁵⁵	Sun1991	-fụɂ⁵⁵	Sun1991	fɔɂ⁵⁵	Sun1991	-faɂ⁵⁵	Sun1991
		303				sunbathe			l̥ap⁵⁵	Sun1991	lạp⁵⁵	Sun1991	lạ:p⁵⁵	Sun1991	lɛɂ⁵⁵	Sun1991		
		304	lhyap-			flash			l̥ɛp⁵⁵	Sun1991	lạp⁵⁵-	Sun1991	lạp⁵⁵-	Sun1991	lẹɂ⁵⁵-	Sun1991	lɛ̣̣p⁵⁵-	Sun1991
		305				to dry in the air	l̥ap⁵⁵	Sun1991	l̥ap⁵⁵	Sun1991	la̱p⁵⁵	Sun1991	la̱ːp⁵⁵	Sun1991	lɛ̱ʔ⁵⁵	Sun1991	lɛ̱ʔ⁵⁵	Sun1991
		306	wap			hatch	xup⁵⁵	Sun1991	xup⁵⁵	Sun1991	xup⁵⁵	Sun1991	wụ:p⁵⁵	Sun1991	ap⁵⁵	Sun1991	ạp⁵⁵	Sun1991
	378a	307	pup			rot					pup²¹-	Sun1991	pu:p⁵⁵	Sun1991	pap³¹	Sun1991	pap³¹	Sun1991
		308				beat, strike, hit	pat⁵⁵ 	Xu1984 or Dai1985 Nishi confusingly cites as X/C	pat⁵⁵	Sun1991	pat²¹	Sun1991	pa:t³¹	Sun1991	pɛɂ³¹	Sun1991	pɛɂ³¹	Sun1991
	313a	309	pac			shoot	pək⁵⁵	Sun1991	pɤk⁵⁵	Sun1991	pik²¹	Sun1991	pə:k³¹	Sun1991	pak³¹	Sun1991	pak³¹	Sun1991
		310	prat		bry-	(thread) snap	pʐat⁵⁵	Sun1991	pɛt⁵⁵	Sun1991	pit²¹	Sun1991	pji:t³¹	Sun1991	pjik³¹	Sun1991	pjɔt³¹	Sun1991
		311	-pyak			collapse, damage					pjoɂ²¹	Sun1991	pjɔ:ɂ³¹	Sun1991			pjaɂ³¹	Sun1991
		312	pyok			disappear, vanish	tʂoɂ⁵⁵	Sun1991			pjuɂ²¹	Sun1991	pju:k³¹	Sun1991	pjauk³¹	Sun1991	pjauɂ³¹	Sun1991
		313				be accomplished	tut⁵⁵	Sun1991	tut³¹	Sun1991	tut²¹	Sun1991	tu:t³¹	Sun1991	tø³¹	Sun1991	tø³¹	Sun1991
		314	tat			know (how to)	tat⁵⁵	Sun1991	tat⁵⁵	Sun1991	tat²¹	Sun1991	ta:t³¹	Sun1991				
		315	tak			go up, climb	tɔɂ⁵⁵	Sun1991	tɔɂ⁵⁵	Sun1991	toɂ²¹	Sun1991	tɔ:ɂ³¹	Sun1991	tɔɂ³¹	Sun1991	taɂ³¹	Sun1991
		316	chut		ts-	back up; retreat					tsut²¹	Sun1991			tsat³¹	Sun1991	tsɔt³¹	Sun1991
		317	cak			drop (oil)	tɕɔk⁵⁵	Sun1991	cak⁵⁵	Sun1991			tsɔɂ³¹	Sun1991				
		318				be blind, deaf	tset⁵⁵	Sun1991	tsɛt⁵⁵	Sun1991	tʃit²¹	Sun1991	tʃi:t³¹	Sun1991	tʃik³¹	Sun1991	tʃɔt³¹	Sun1991
		319	cok			female genitals	tɕuɂ³¹-	Sun1991	cuɂ⁵⁵	Sun1991	tʃoɂ²¹	Sun1991	tʃuɂ³¹	Sun1991	tʃauk³¹	Sun1991	tʃauɂ³¹	Sun1991
		320	kok			pick up	kuɂ⁵⁵	Sun1991	kuɂ⁵⁵	Sun1991					kauk³¹	Sun1991	kauɂ³¹	Sun1991
		321	kok			paddy rice			kuɂ⁵⁵	Sun1991	-kuɂ²¹	Sun1991	kuk³¹	Sun1991	-kuɂ³¹	Sun1991	-kauɂ³¹	Sun1991
		322				break, smash					koɂ²¹	Sun1991						
		323	kyak			be cooked	tʂuaɂ⁵⁵	Sun1991	tʂoɂ⁵⁵	Sun1991	ŋjoɂ²¹	Sun1991	ŋjɔ:ɂ³¹	Sun1991	ŋjɔɂ³¹	Sun1991	ŋjaɂ³¹	Sun1991
		324		klyap		ten cents; kyat	tɕɔɂ³¹	Sun1991			kjoɂ⁵⁵	Sun1991	kjɔ³¹	Sun1991	kjɔɂ³¹	Sun1991	kjɔɂ³¹	Sun1991
		325				to bark	kʐap⁵⁵	Sun1991	kʐap⁵⁵	Sun1991	vap²¹	Sun1991			ɣɛɂ³¹	Sun1991	?ɣɛɂ³¹	Sun1991
		326				be broken	kʐop⁵⁵	Sun1991	kʐop⁵⁵	Sun1991			kju:p³¹	Sun1991	kjøɂ³¹	Sun1991	kjøɂ³¹	Sun1991
		327				cold (weather)	kʐuat⁵⁵	Sun1991	kʐot⁵⁵	Sun1991	kjoɂ²¹	Sun1991			kjɔɂ³¹	Sun1991	kjaɂ³¹	Sun1991
	259a	328	krok			be afraid	ʐoɂ⁵⁵	Sun1991			kjuɂ²¹	Sun1991	kju:k³¹	Sun1991	kjauk³¹	Sun1991	kjauɂ³¹	Sun1991
		329	krwak			mouse	kʐoɂ⁵⁵	Sun1991	kʐoɂ⁵⁵	Sun1991					ɣuk³¹-	Sun1991	ɣɔɂ³¹-	Sun1991
		330		klwat		dislocate (joint)					kjut²¹	Sun1991			kjɛt³¹	Sun1991		
		331	ɂap			deposit					ap²¹-	Sun1991						
	229b	332	mwat			hungry			mut⁵⁵	Sun1991	mut²¹	Sun1991	?mu:t⁵⁵	Sun1991	møɂ³¹	Sun1991	-møɂ⁵⁵	Sun1991
83	263a	333	mak			dream vi	-mɔɂ⁵⁵	Sun1991	-mɔɂ⁵⁵	Sun1991	-moɂ²¹	Sun1991	-mɔɂ³¹	Sun1991	-maɂ⁵⁵	Sun1991	-maɂ⁵⁵	Sun1991
71	125a	335	myak			eye	ñɔɂ⁵⁵-	Sun1991	ɲɔɂ⁵⁵	Sun1991	mjoɂ²¹-	Sun1991	mjɔɂ³¹	Sun1991	mjɔɂ³¹-	Sun1991	mjaɂ³¹-	Sun1991
	076b	336	myok			monkey	ñuɂ⁵⁵	Sun1991	ɲuɂ⁵⁵	Sun1991	mjuɂ²¹	Sun1991	mjuk³¹	Sun1991	mjauk³¹	Sun1991	mjauɂ³¹	Sun1991
		337	rac		mr	remain	m̥ʐat⁵⁵	Sun1991			mjit²¹	Sun1991	mji:t³¹	Sun1991			mjik³¹	Sun1991
	042a	338		mryat		root	mʐuat⁵⁵	Sun1991	mɛt⁵⁵	Sun1991								
		339	mhut		m-	blow away	m̥ut⁵⁵	Sun1991	m̥ut⁵⁵	Sun1991	mut²¹	Sun1991	mu:t³¹	Sun1991	mat³¹	Sun1991	mɔt³¹	Sun1991
		340	nak			early	nɔɂ⁵⁵	Sun1991	nɔɂ⁵⁵	Sun1991	noɂ²¹	Sun1991	nɔ:ɂ⁵⁵	Sun1991	nɔɂ⁵⁵	Sun1991	naɂ⁵⁵	Sun1991
		341	naṃ			morning; morrow	-nap⁵⁵	Sun1991	nap⁵⁵-	Sun1991	nap²¹-	Sun1991	nap³¹-	Sun1991	nɛɂ³¹-	Sun1991	nɛɂ³¹-	Sun1991
		342	nat			ghost, spirit					nat²¹	Sun1991	nat³¹	Sun1991				
		343	nut			pull up (weeds)					nut²¹	Sun1991	nu:t³¹	Sun1991	nat³¹	Sun1991	nɔt³¹	Sun1991
	362a	344	nak			black			nɔɂ⁵⁵	Sun1991	noɂ²¹	Sun1991	nɔ:ɂ³¹	Sun1991	nɔɂ³¹	Sun1991	naɂ³¹	Sun1991
		345				to plait			nɤk⁵⁵	Sun1991	nik²¹	Sun1991	nə:k³¹	Sun1991	nak³¹	Sun1991	nak³¹	Sun1991
		346	-ñhap		ŋj-	fire-tongs	-ñap⁵⁵	Sun1991	-ɲap⁵⁵	Sun1991	ŋjap²¹	Sun1991	ŋjap³¹-	Sun1991	ŋjɛɂ³¹-	Sun1991	ŋjɛɂ³¹-	Sun1991
		347				sink	ñɔp⁵⁵	Sun1991	ɲɔp⁵⁵	Sun1991	nop²¹	Sun1991	nu:p³¹	Sun1991	nɔp³¹	Sun1991	nap³¹	Sun1991
	233a	348	yac		yat	be drunk	et⁵⁵	Sun1991	ɛt⁵⁵	Sun1991			ji:t³¹	Sun1991	jik³¹	Sun1991	jɔt³¹	Sun1991
	169a	349	yok-			man (male)			juɂ³¹-	Sun1991	juɂ²¹-	Sun1991	juɂ⁵⁵-	Sun1991	jauk³¹-	Sun1991	jauɂ³¹-	Sun1991
	196b	350	rak			weave (cloth)	ʐuaɂ⁵⁵	Sun1991	ʐɔɂ⁵⁵	Sun1991	voɂ²¹	Sun1991	jɔ:ɂ³¹	Sun1991	ɣɔɂ³¹	Sun1991	ɣaɂ³¹	Sun1991
	272a	351		ryap		stand	ʐap⁵⁵	Sun1991	jap⁵⁵	Sun1991	jap²¹	Sun1991	ja:p³¹	Sun1991	jɛɂ³¹	Sun1991	jɛɂ⁵⁵	Sun1991
	011a	352	-rip			shadow	-ʐit⁵⁵	Sun1991	-ʐɯt⁵⁵	Sun1991	vup²¹	Sun1991			ɣap³¹-	Sun1991	ɣap³¹-	Sun1991
	137a	353	rit			shave (beard)	ʐoɂ⁵⁵	Sun1991	ʐuɂ⁵⁵	Sun1991	vuɂ²¹	Sun1991	ju:k³¹	Sun1991	ɣauk³¹	Sun1991	ɣauɂ³¹	Sun1991
		354	rwak			carry sth with	ʐoɂ⁵⁵	Sun1991	ʐoɂ⁵⁵	Sun1991	vaɂ²¹	Sun1991	vu:ɂ³¹	Sun1991	vɔɂ³¹	Sun1991	vaɂ³¹	Sun1991
	145a	355	lak			hand	lɔɂ⁵⁵	Sun1991	lɔɂ⁵⁵-	Sun1991	loɂ²¹	Sun1991	lɔɂ³¹	Sun1991	lɔɂ³¹	Sun1991	laɂ³¹	Sun1991
76		356	lok			maggot					luɂ²¹	Sun1991	luk³¹	Sun1991	lauk³¹	Sun1991	lauɂ³¹	Sun1991
		357	lyak			lick	liap⁵⁵	Sun1991	lɛɂ⁵⁵	Sun1991	joɂ²¹	Sun1991	jɔ:ɂ³¹	Sun1991	jɔɂ³¹	Sun1991	laɂ³¹	Sun1991
		358	wat			wear	xot⁵⁵	Sun1991	ut⁵⁵	Sun1991	vut²¹	Sun1991	wu:t³¹	Sun1991	vɛɂ³¹	Sun1991	vɛɂ⁵⁵	Sun1991
	085a	359	wak			pig	oɂ⁵⁵	Sun1991	oɂ⁵⁵	Sun1991	vaɂ²¹	Sun1991	vuɂ³¹	Sun1991	vɔɂ³¹	Sun1991	vaɂ³¹	Sun1991
		p.69	cuiḥ			rule(r)	tʂau³¹	Sun1991	tʂu³¹	Sun1991	tsau²¹	Sun1991	tshou³⁵	Sun1991	tsuk⁵⁵	Sun1991	tau³¹	Sun1991
		334				hat					muɂ²¹-		muk³¹-		mauk³¹-		mauɂ³¹-	
