ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	NOTE
Wannemacher-2011-736-1	1	flower	239	FLOWER	
Wannemacher-2011-736-2	2	hit	1433	HIT	
Wannemacher-2011-736-3	3	beat	1665	BEAT	
Wannemacher-2011-736-4	4	included			
Wannemacher-2011-736-5	5	yellow	1424	YELLOW	
Wannemacher-2011-736-6	6	mountain	639	MOUNTAIN	
Wannemacher-2011-736-7	7	may it be so			
Wannemacher-2011-736-8	8	belt	772	BELT	
Wannemacher-2011-736-9	9	sister	1263	SISTER	
Wannemacher-2011-736-10	10	duck	1360	DUCK	
Wannemacher-2011-736-11	11	cheek	1730	CHEEK	
Wannemacher-2011-736-12	12	landslide			
Wannemacher-2011-736-13	13	friend	1325	FRIEND	
Wannemacher-2011-736-14	14	west (sun enter)	1817	WEST	
Wannemacher-2011-736-15	15	sun	1343	SUN	
Wannemacher-2011-736-16	16	east (sun go-out)	1877	EAST	
Wannemacher-2011-736-17	17	fall off			
Wannemacher-2011-736-18	18	sweat	2458	PERSPIRE OR SWEAT	no way to tell from Wannemacher whether it is a noun or verb
Wannemacher-2011-736-19	19	plural suffix			
Wannemacher-2011-736-20	20	shoot	1172	SHOOT	
Wannemacher-2011-736-21	21	shoot	1172	SHOOT	
Wannemacher-2011-736-22	22	jump down			
Wannemacher-2011-736-23	23	rabbit	1136	RABBIT	
Wannemacher-2011-736-24	24	bad omen			
Wannemacher-2011-736-25	25	fight	1423	FIGHT	
Wannemacher-2011-736-26	26	pay	718	PAY	
Wannemacher-2011-736-27	27	give	1447	GIVE	
Wannemacher-2011-736-28	28	perfective tense			
Wannemacher-2011-736-29	29	clothing	2088	CLOTHING (CLASSIFIER)	
Wannemacher-2011-736-30	30	full	1429	FULL	
Wannemacher-2011-736-31	31	friend	1325	FRIEND	
Wannemacher-2011-736-32	32	broken	588	BROKEN	
Wannemacher-2011-736-33	33	spit	1440	SPIT	
Wannemacher-2011-736-34	34	to be scattered			
Wannemacher-2011-736-35	35	bee	665	BEE	
Wannemacher-2011-736-36	36	hive	88	BEEHIVE	
Wannemacher-2011-736-37	37	tradition			
Wannemacher-2011-736-38	38	person	683	PERSON	
Wannemacher-2011-736-39	39	wipe	1454	WIPE	
Wannemacher-2011-736-40	40	mountain	639	MOUNTAIN	
Wannemacher-2011-736-41	41	rotten	1728	ROTTEN	
Wannemacher-2011-736-42	42	rot (intrans)			
Wannemacher-2011-736-43	43	knife	1352	KNIFE	
Wannemacher-2011-736-44	44	knife	1352	KNIFE	
Wannemacher-2011-736-45	45	knife	1352	KNIFE	
Wannemacher-2011-736-46	46	tell	1711	TELL	
Wannemacher-2011-736-47	47	clean	704	CLEAN	no way to tell from Wannemacher whether it is an adjective or verb
Wannemacher-2011-736-48	48	hear	1408	HEAR	
Wannemacher-2011-736-49	49	plant	653	PLANT (VEGETATION)	my identification might be mistaken, could be 1486 PLANT  (SOMETHING)
Wannemacher-2011-736-50	50	embarassed	487	SHY	
Wannemacher-2011-736-51	51	until			
Wannemacher-2011-736-52	52	die	1494	DIE	
Wannemacher-2011-736-53	53	fat	323	FAT (ORGANIC SUBSTANCE)	no way to tell from Wannemacher which is meant, we will probably be able to tell from the cognates
Wannemacher-2011-736-54	54	louse	1392	LOUSE	
Wannemacher-2011-736-55	55	eight (people)	1705	EIGHT	
Wannemacher-2011-736-56	56	saliva	1503	SALIVA	
Wannemacher-2011-736-57	57	fig	322	FIG	
Wannemacher-2011-736-58	58	begin	1806	BEGIN	
Wannemacher-2011-736-59	59	fruit tree			
Wannemacher-2011-736-60	60	naked	590	NAKED	
Wannemacher-2011-736-61	61	fruit	1507	FRUIT	
Wannemacher-2011-736-62	62	long	1203	LONG	
Wannemacher-2011-736-63	63	gold	1369	GOLD	
Wannemacher-2011-736-64	64	for (benefactive)			
Wannemacher-2011-736-65	65	lime (for betel)	982	LIME (FRUIT)	
Wannemacher-2011-736-66	66	drink	1401	DRINK	
Wannemacher-2011-736-67	67	flesh	2615	FLESH OR MEAT	
Wannemacher-2011-736-68	68	bone	1394	BONE	
Wannemacher-2011-736-69	69	hunt	1435	HUNT	
Wannemacher-2011-736-70	70	skin	763	SKIN	
Wannemacher-2011-736-71	71	wipe	1454	WIPE	
Wannemacher-2011-736-72	72	wrong	1390	WRONG	
Wannemacher-2011-736-73	73	half	816	HALF	
Wannemacher-2011-736-74	74	hundred (people)	1634	HUNDRED	
Wannemacher-2011-736-75	75	few	1242	FEW	
Wannemacher-2011-736-76	76	thousand (people)	1843	THOUSAND	
Wannemacher-2011-736-77	77	is (location)	1579	BE	
Wannemacher-2011-736-78	78	possessive			
Wannemacher-2011-736-79	79	only a little			
Wannemacher-2011-736-80	80	some	1241	SOME	
Wannemacher-2011-736-81	81	one (person)	1493	ONE	
Wannemacher-2011-736-82	82	word	1599	WORD	
Wannemacher-2011-736-83	83	judge	861	JUDGE	
Wannemacher-2011-736-84	84	all	98	ALL	
Wannemacher-2011-736-85	85	carry	700	CARRY	
Wannemacher-2011-736-86	86	fly	1441	FLY (MOVE THROUGH AIR)	
Wannemacher-2011-736-87	87	tell	1711	TELL	
Wannemacher-2011-736-88	88	meaning			
Wannemacher-2011-736-89	89	answer	1275	ANSWER	
Wannemacher-2011-736-90	90	speak	1623	SPEAK	
Wannemacher-2011-736-91	91	to fence	1690	FENCE	
Wannemacher-2011-736-92	92	once	374	ONE TIME	
Wannemacher-2011-736-93	93	at once			
Wannemacher-2011-736-94	94	ten (people)	1515	TEN	
Wannemacher-2011-736-95	95	crawl	96	CRAWL	
Wannemacher-2011-736-96	96	stand	1442	STAND	
Wannemacher-2011-736-97	97	straight	1404	STRAIGHT	
Wannemacher-2011-736-98	98	tell	1711	TELL	
Wannemacher-2011-736-99	99	only a little			
Wannemacher-2011-736-100	100	living things			
Wannemacher-2011-736-101	101	alive	1422	BE ALIVE	
Wannemacher-2011-736-102	102	firm			
Wannemacher-2011-736-103	103	wing	1257	WING	
Wannemacher-2011-736-104	104	vomit	1278	VOMIT	
Wannemacher-2011-736-105	105	bright	679	BRIGHT	
Wannemacher-2011-736-106	106	unwilling			
Wannemacher-2011-736-107	107	dig	1418	DIG	
Wannemacher-2011-736-108	108	same	200	SAME	
Wannemacher-2011-736-109	109	like	1117	LIKE	
Wannemacher-2011-736-110	110	fight	1423	FIGHT	
Wannemacher-2011-736-111	111	serve			
Wannemacher-2011-736-112	112	throw	1456	THROW	
Wannemacher-2011-736-113	113	footprint	318	FOOTPRINT	
Wannemacher-2011-736-114	114	hole	1667	HOLE	
Wannemacher-2011-736-115	115	return	581	COME BACK	
Wannemacher-2011-736-116	116	answer	1275	ANSWER	
Wannemacher-2011-736-117	117	push	1452	PUSH	
Wannemacher-2011-736-118	118	kind, sort	844	KIND (THING)	
Wannemacher-2011-736-119	119	year	1226	YEAR	
Wannemacher-2011-736-120	120	termite	883	TERMITE	
Wannemacher-2011-736-121	121	hit	1433	HIT	
Wannemacher-2011-736-122	122	on, to			
Wannemacher-2011-736-123	123	from	693	FROM	
Wannemacher-2011-736-124	124	hidden			
Wannemacher-2011-736-125	125	cough	879	COUGH	
Wannemacher-2011-736-126	126	eat	1336	EAT	
Wannemacher-2011-736-127	127	full, satisfied	1429	FULL	
Wannemacher-2011-736-128	128	slow	701	SLOW	
Wannemacher-2011-736-129	129	correct	1725	CORRECT (RIGHT)	
Wannemacher-2011-736-130	130	iron	621	IRON	
Wannemacher-2011-736-131	131	bread	1368	BREAD	
Wannemacher-2011-736-132	132	girl	1646	GIRL	
Wannemacher-2011-736-133	133	hungry	1533	BE HUNGRY	
Wannemacher-2011-736-134	134	tiger	846	TIGER	
Wannemacher-2011-736-135	135	child	2099	CHILD	
Wannemacher-2011-736-136	136	son in law			
Wannemacher-2011-736-137	137	house lizard	632	LIZARD	
Wannemacher-2011-736-138	138	very	1311	VERY	
Wannemacher-2011-736-139	139	gums	139	GUMS	
Wannemacher-2011-736-140	140	hive			presumably doesn't mean ' beehive'  but rather 'boil' (noun)
Wannemacher-2011-736-141	141	tooth	1380	TOOTH	
Wannemacher-2011-736-142	142	drum	908	DRUM	
Wannemacher-2011-736-143	143	spoon	1378	SPOON	
Wannemacher-2011-736-144	144	basket	1539	BASKET	
Wannemacher-2011-736-145	145	boil	2493	BOIL	
Wannemacher-2011-736-146	146	thorn	124	THORN	
Wannemacher-2011-736-147	147	dip food in hot water			
Wannemacher-2011-736-148	148	suck	1421	SUCK	
Wannemacher-2011-736-149	149	whistle	1025	WHISTLE	
Wannemacher-2011-736-150	150	proud	174	PROUD	
Wannemacher-2011-736-151	151	midnight	2656	MIDNIGHT	
Wannemacher-2011-736-152	152	happy	1495	HAPPY	
Wannemacher-2011-736-153	153	do secretly			
Wannemacher-2011-736-154	154	hoe	284	HOE	
Wannemacher-2011-736-155	155	dance	1879	DANCE	
Wannemacher-2011-736-156	156	nine (people)	1483	NINE	
Wannemacher-2011-736-157	157	good	1035	GOOD	
Wannemacher-2011-736-158	158	different	2504	DIFFERENT	
Wannemacher-2011-736-159	159	very	1311	VERY	
Wannemacher-2011-736-160	160	river rises			
Wannemacher-2011-736-161	161	is			could be identified with BE, but one must be very careful
Wannemacher-2011-736-162	162	run	1519	RUN	
Wannemacher-2011-736-163	163	buy	1869	BUY	
Wannemacher-2011-736-164	164	scratch down			
Wannemacher-2011-736-165	165	skinny	1400	THIN (SLIM)	
Wannemacher-2011-736-166	166	farm	201	FARM	
Wannemacher-2011-736-167	167	firm			
Wannemacher-2011-736-168	168	bark (v)	1204	BARK	
Wannemacher-2011-736-169	169	fall	1280	FALL	
Wannemacher-2011-736-170	170	fall off			
Wannemacher-2011-736-171	171	chicken	1318	CHICKEN	
Wannemacher-2011-736-172	172	egg-chicken	744	EGG	
Wannemacher-2011-736-173	173	chicken	1318	CHICKEN	
Wannemacher-2011-736-174	174	water	948	WATER	
Wannemacher-2011-736-175	175	river	666	RIVER	
Wannemacher-2011-736-176	176	thirsty	847	THIRSTY	
Wannemacher-2011-736-177	177	ruin			
Wannemacher-2011-736-178	178	rattan	2497	RATTAN	
Wannemacher-2011-736-179	179	shave (beard)	231	SHAVE	
Wannemacher-2011-736-180	180	swim	1439	SWIM	
Wannemacher-2011-736-181	181	dip food in hot water			
Wannemacher-2011-736-182	182	big	1202	BIG	
Wannemacher-2011-736-183	183	afraid	1419	FEAR (BE AFRAID)	well, maybe he meant this as specifically an adjective
Wannemacher-2011-736-184	184	rat	1490	RAT	
Wannemacher-2011-736-185	185	net	2653	NET (FOR CATCHING)	maybe, I think probably better to map to a more narrow concept just plain net
Wannemacher-2011-736-186	186	paddy rice	926	RICE	
Wannemacher-2011-736-187	187	winnow rice	2462	WINNOWING	
Wannemacher-2011-736-188	188	winnow rice	2462	WINNOWING	
Wannemacher-2011-736-189	189	rice husk	2501	RICE HUSK	
Wannemacher-2011-736-190	190	naked	590	NAKED	
Wannemacher-2011-736-191	191	substitute			
Wannemacher-2011-736-192	192	scorpion	1538	SCORPION	
Wannemacher-2011-736-193	193	bathe	138	BATHE	
Wannemacher-2011-736-194	194	other	197	OTHER	
Wannemacher-2011-736-195	195	yawn	1028	YAWN	
Wannemacher-2011-736-196	196	who	1235	WHO	
Wannemacher-2011-736-197	197	who	1235	WHO	
Wannemacher-2011-736-198	198	this	1214	THIS	
Wannemacher-2011-736-199	199	that	78	THAT	
Wannemacher-2011-736-200	200	refuse	49	REFUSE	
Wannemacher-2011-736-201	201	this	1214	THIS	
Wannemacher-2011-736-202	202	remove			
Wannemacher-2011-736-203	203	pus	1808	PUS	
Wannemacher-2011-736-204	204	garlic	2368	GARLIC	
Wannemacher-2011-736-205	205	swell	1573	SWELL	
Wannemacher-2011-736-206	206	stand	1442	STAND	
Wannemacher-2011-736-207	207	fly (n)	1504	FLY (INSECT)	
Wannemacher-2011-736-208	208	insect	620	INSECT	
Wannemacher-2011-736-209	209	sheep	1331	SHEEP	
Wannemacher-2011-736-210	210	healthy	1364	HEALTHY	
Wannemacher-2011-736-211	211	flow	2003	FLOW	
Wannemacher-2011-736-212	212	weave (cloth)	133	WEAVE	
Wannemacher-2011-736-213	213	itch	148	ITCH	
Wannemacher-2011-736-214	214	and	1577	AND	
Wannemacher-2011-736-215	215	with (inst., ditrans)	1340	WITH	
Wannemacher-2011-736-216	216	lick	319	LICK	
Wannemacher-2011-736-217	217	and	1577	AND	
Wannemacher-2011-736-218	218	here you are			
Wannemacher-2011-736-219	219	farm	201	FARM	
Wannemacher-2011-736-220	220	honey	942	HONEY	
Wannemacher-2011-736-221	221	shadow	2275	SHADOW	
Wannemacher-2011-736-222	222	drunk	1463	DRUNK	
Wannemacher-2011-736-223	223	laugh	1355	LAUGH	
Wannemacher-2011-736-224	224	plural marker			
Wannemacher-2011-736-225	225	liquor	842	LIQUOR	
Wannemacher-2011-736-226	226	smile	1451	SMILE	
Wannemacher-2011-736-227	227	urine	1142	URINE	
Wannemacher-2011-736-228	228	person (clsf)	516	PERSON (CLASSIFIER)	
Wannemacher-2011-736-229	229	shave	231	SHAVE	
Wannemacher-2011-736-230	230	hit	1433	HIT	
Wannemacher-2011-736-231	231	husband	1200	HUSBAND	
Wannemacher-2011-736-232	232	man	1554	MAN	
Wannemacher-2011-736-233	233	strong	785	STRONG	
Wannemacher-2011-736-234	234	weak	1601	WEAK	
Wannemacher-2011-736-235	235	wife	1199	WIFE	
Wannemacher-2011-736-236	236	husband	1200	HUSBAND	
Wannemacher-2011-736-237	237	house	1252	HOUSE	
Wannemacher-2011-736-238	238	house lizard	632	LIZARD	
Wannemacher-2011-736-239	239	wall of house	933	WALL (OF HOUSE)	
Wannemacher-2011-736-240	240	space under house			
Wannemacher-2011-736-241	241	roof	769	ROOF	
Wannemacher-2011-736-242	242	pay	718	PAY	
Wannemacher-2011-736-243	243	dream	2374	DREAM	
Wannemacher-2011-736-244	244	burden			
Wannemacher-2011-736-245	245	farm	201	FARM	
Wannemacher-2011-736-246	246	take	1749	TAKE	
Wannemacher-2011-736-247	247	therefore			
Wannemacher-2011-736-248	248	tongue	1205	TONGUE	
Wannemacher-2011-736-249	249	sleep	1585	SLEEP	
Wannemacher-2011-736-250	250	use	2072	USE (VERB)	
Wannemacher-2011-736-251	251	opium	2498	OPIUM	
Wannemacher-2011-736-252	252	past marker			
Wannemacher-2011-736-253	253	life	210	LIFE	
Wannemacher-2011-736-254	254	animal	619	ANIMAL	
Wannemacher-2011-736-255	255	put on	158	PUT ON	
Wannemacher-2011-736-256	256	hoe	284	HOE	
Wannemacher-2011-736-257	257	crocodile	1857	CROCODILE	
Wannemacher-2011-736-258	258	bitter	887	BITTER	
Wannemacher-2011-736-259	259	steal	713	STEAL	
Wannemacher-2011-736-260	260	split	1437	SPLIT	
Wannemacher-2011-736-261	261	where	1237	WHERE	
Wannemacher-2011-736-262	262	whence			
Wannemacher-2011-736-263	263	when	1238	WHEN	
Wannemacher-2011-736-264	264	how many?	822	HOW MANY	
Wannemacher-2011-736-265	265	heel	980	HEEL	
Wannemacher-2011-736-266	266	eggplant	1146	AUBERGINE	
Wannemacher-2011-736-267	267	frozen			
Wannemacher-2011-736-268	268	excrement	675	FAECES (EXCREMENT)	
Wannemacher-2011-736-269	269	to fence			
Wannemacher-2011-736-270	270	termite	883	TERMITE	
Wannemacher-2011-736-271	271	break	680	BREAK (DESTROY OR GET DESTROYED)	
Wannemacher-2011-736-272	272	shin	186	SHIN	
Wannemacher-2011-736-273	273	choose	1750	CHOOSE	
Wannemacher-2011-736-274	274	calf	1989	CALF	
Wannemacher-2011-736-275	275	foot	2098	FOOT OR LEG	
Wannemacher-2011-736-276	276	leg	2098	FOOT OR LEG	
Wannemacher-2011-736-277	277	shave	231	SHAVE	
Wannemacher-2011-736-278	278	to (location, ditrans)			
Wannemacher-2011-736-279	279	six (people)	1703	SIX	
Wannemacher-2011-736-280	280	road, path	2457	PATH OR ROAD	
Wannemacher-2011-736-281	281	boarder	1690	FENCE	
Wannemacher-2011-736-282	282	sing	1261	SING	
Wannemacher-2011-736-283	283	window	1375	WINDOW	
Wannemacher-2011-736-284	284	door	1567	DOOR	
Wannemacher-2011-736-285	285	bear	1820	BEAR	
Wannemacher-2011-736-286	286	star	1430	STAR	
Wannemacher-2011-736-287	287	mosquito	1509	MOSQUITO	
Wannemacher-2011-736-288	288	partition			
Wannemacher-2011-736-289	289	report			
Wannemacher-2011-736-290	290	peg	361	PEG	
Wannemacher-2011-736-291	291	shade	1388	SHADE	
Wannemacher-2011-736-292	292	forest	420	FOREST	
Wannemacher-2011-736-293	293	dry	1398	DRY	
Wannemacher-2011-736-294	294	scratch	1436	SCRATCH	
Wannemacher-2011-736-295	295	pick up	371	PICK UP	
Wannemacher-2011-736-296	296	do	813	DO	
Wannemacher-2011-736-297	297	entrap	1170	TRAP (CATCH)	
Wannemacher-2011-736-298	298	Lashi			
Wannemacher-2011-736-299	299	corn	506	MAIZE	
Wannemacher-2011-736-300	300	red pepper	919	CHILI PEPPER	
Wannemacher-2011-736-301	301	monkey	1350	MONKEY	
Wannemacher-2011-736-302	302	cat	1208	CAT	
Wannemacher-2011-736-303	303	cockroach	1575	COCKROACH	
Wannemacher-2011-736-304	304	moon	1313	MOON	
Wannemacher-2011-736-305	305	wide, broad	2652	BROAD OR WIDE	
Wannemacher-2011-736-306	306	spear	945	SPEAR	
Wannemacher-2011-736-307	307	fast	1631	FAST	
Wannemacher-2011-736-308	308	to dry	1398	DRY	
Wannemacher-2011-736-309	309	pull	1455	PULL	
Wannemacher-2011-736-310	310	wide	1243	WIDE	
Wannemacher-2011-736-311	311	wait	1590	WAIT (FOR)	
Wannemacher-2011-736-312	312	worker (on a farm)			
Wannemacher-2011-736-313	313	husband	1200	HUSBAND	
Wannemacher-2011-736-314	314	snake	730	SNAKE	
Wannemacher-2011-736-315	315	porcupine	2510	PORCUPINE	
Wannemacher-2011-736-316	316	dog	2009	DOG	
Wannemacher-2011-736-317	317	come	1446	COME	
Wannemacher-2011-736-318	318	move away	229	MOVE AWAY	
Wannemacher-2011-736-319	319	rightside	1019	RIGHT	
Wannemacher-2011-736-320	320	hand	2121	ARM OR HAND	
Wannemacher-2011-736-321	321	leftside	244	LEFT	
Wannemacher-2011-736-322	322	finger	1303	FINGER	
Wannemacher-2011-736-323	323	ring	1374	RING	
Wannemacher-2011-736-324	324	nail	2128	CLAW OR NAIL	
Wannemacher-2011-736-325	325	palm	1183	PALM OF HAND	
Wannemacher-2011-736-326	326	elbow	981	ELBOW	
Wannemacher-2011-736-327	327	elbow	981	ELBOW	
Wannemacher-2011-736-328	328	armpit	1886	ARMPIT	
Wannemacher-2011-736-329	329	mango	2398	MANGO	
Wannemacher-2011-736-330	330	kapok			
Wannemacher-2011-736-331	331	emphatic particle			
Wannemacher-2011-736-332	332	trousers	809	TROUSERS	
Wannemacher-2011-736-333	333	crossbow	994	BOW	I doubt very much that it means specifically 'crossbow'.
Wannemacher-2011-736-334	334	heavy	1210	HEAVY	
Wannemacher-2011-736-335	335	to be different	2504	DIFFERENT	
Wannemacher-2011-736-336	336	write	1672	WRITE	
Wannemacher-2011-736-337	337	boat	1844	BOAT	
Wannemacher-2011-736-338	338	grind	1033	GRIND	
Wannemacher-2011-736-339	339	easy	686	EASY	
Wannemacher-2011-736-340	340	write	1672	WRITE	
Wannemacher-2011-736-341	341	round	1395	ROUND	
Wannemacher-2011-736-342	342	short (length)	1645	SHORT	
Wannemacher-2011-736-343	343	sarong	2413	SARONG	
Wannemacher-2011-736-344	344	seize	855	SEIZE	
Wannemacher-2011-736-345	345	stone	857	STONE	
Wannemacher-2011-736-346	346	stone	857	STONE	
Wannemacher-2011-736-347	347	wrestle			
Wannemacher-2011-736-348	348	hot	1286	HOT	
Wannemacher-2011-736-349	349	cave	1155	CAVE	
Wannemacher-2011-736-350	350	go	695	GO	
Wannemacher-2011-736-351	351	chief	2394	CHIEF	
Wannemacher-2011-736-352	352	play	1413	PLAY	
Wannemacher-2011-736-353	353	news			
Wannemacher-2011-736-354	354	five (people)	493	FIVE	
Wannemacher-2011-736-355	355	gong	2502	GONG	
Wannemacher-2011-736-356	356	God	1944	GOD	
Wannemacher-2011-736-357	357	shin	186	SHIN	
Wannemacher-2011-736-358	358	north	1598	NORTH	
Wannemacher-2011-736-359	359	lie, fib	601	LIE (MISLEAD)	
Wannemacher-2011-736-360	360	from	693	FROM	
Wannemacher-2011-736-361	361	spoon	1378	SPOON	
Wannemacher-2011-736-362	362	world	965	WORLD	
Wannemacher-2011-736-363	363	rain	2108	RAINING OR RAIN	
Wannemacher-2011-736-364	364	heaven	1565	HEAVEN	
Wannemacher-2011-736-365	365	sky	1732	SKY	
Wannemacher-2011-736-366	366	paper	648	PAPER	
Wannemacher-2011-736-367	367	surprise			
Wannemacher-2011-736-368	368	lightning	1654	LIGHTNING	
Wannemacher-2011-736-369	369	south	1595	SOUTH	
Wannemacher-2011-736-370	370	mushroom	641	MUSHROOM	
Wannemacher-2011-736-371	371	plural suffix			
Wannemacher-2011-736-372	372	person's name			
Wannemacher-2011-736-373	373	wife	1199	WIFE	
Wannemacher-2011-736-374	374	medicine	1372	MEDICINE	
Wannemacher-2011-736-375	375	four (people)	1500	FOUR	
