ID	NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	NOTE
Wannemacher-2011-736-376	376	blanket	806	BLANKET	
Wannemacher-2011-736-377	377	sarong	2413	SARONG	
Wannemacher-2011-736-378	378	tail	1220	TAIL	
Wannemacher-2011-736-379	379	peanut	2364	PEANUT	
Wannemacher-2011-736-380	380	jackfruit	2655	JACKFRUIT	
Wannemacher-2011-736-381	381	earth, soil	1228	EARTH (SOIL)	
Wannemacher-2011-736-382	382	fast	1631	FAST	
Wannemacher-2011-736-383	383	see	1409	SEE	
Wannemacher-2011-736-384	384	tall	711	TALL	
Wannemacher-2011-736-385	385	swallow	897	SWALLOW	
Wannemacher-2011-736-386	386	type of bamboo			
Wannemacher-2011-736-387	387	that person over there			
Wannemacher-2011-736-388	388	grass	606	GRASS	
Wannemacher-2011-736-389	389	face	1560	FACE	
Wannemacher-2011-736-390	390	blind	1653	BLIND	
Wannemacher-2011-736-391	391	wink	1655	BLINK	
Wannemacher-2011-736-392	392	eyelid	17	EYELID	
Wannemacher-2011-736-393	393	eyebrow	1173	EYEBROW	
Wannemacher-2011-736-394	394	blind	1653	BLIND	
Wannemacher-2011-736-395	395	eye	1248	EYE	
Wannemacher-2011-736-396	396	face	1560	FACE	
Wannemacher-2011-736-397	397	spider	843	SPIDER	
Wannemacher-2011-736-398	398	spider web	1065	SPIDER WEB	
Wannemacher-2011-736-399	399	sand	671	SAND	
Wannemacher-2011-736-400	400	earth, soil	1228	EARTH (SOIL)	
Wannemacher-2011-736-401	401	think	2271	THINK	
Wannemacher-2011-736-402	402	think	2271	THINK	
Wannemacher-2011-736-403	403	night	1233	NIGHT	
Wannemacher-2011-736-404	404	lamp	625	LAMP	
Wannemacher-2011-736-405	405	candle	1273	CANDLE	
Wannemacher-2011-736-406	406	ashes	646	ASH	
Wannemacher-2011-736-407	407	woman	962	WOMAN	
Wannemacher-2011-736-408	408	smoke	778	SMOKE (EXHAUST)	
Wannemacher-2011-736-409	409	fire	221	FIRE	
Wannemacher-2011-736-410	410	mother	1216	MOTHER	
Wannemacher-2011-736-411	411	sound	1811	SOUND OR NOISE	
Wannemacher-2011-736-412	412	name	1405	NAME	
Wannemacher-2011-736-413	413	name	1405	NAME	
Wannemacher-2011-736-414	414	to name	1405	NAME	
Wannemacher-2011-736-415	415	language	1307	LANGUAGE	
Wannemacher-2011-736-416	416	landslide			
Wannemacher-2011-736-417	417	sink	1088	SINK (DESCEND)	
Wannemacher-2011-736-418	418	gibbon	2511	GIBBON	
Wannemacher-2011-736-419	419	tired	1757	TIRED	
Wannemacher-2011-736-420	420	arrow	977	ARROW	
Wannemacher-2011-736-421	421	float	1574	FLOAT	
Wannemacher-2011-736-422	422	flow	2003	FLOW	
Wannemacher-2011-736-423	423	bear (n)	1820	BEAR	
Wannemacher-2011-736-424	424	many (people)	1198	MANY	
Wannemacher-2011-736-425	425	viper	2654	VIPER	
Wannemacher-2011-736-426	426	coconut	970	COCONUT	
Wannemacher-2011-736-427	427	worker			
Wannemacher-2011-736-428	428	coconut shell ladle	2649	COCONUT SHELL LADLE	Same as sil-2002-436-212
Wannemacher-2011-736-429	429	head	1256	HEAD	
Wannemacher-2011-736-430	430	country	1300	COUNTRY	
Wannemacher-2011-736-431	431	thunder	1150	THUNDER	
Wannemacher-2011-736-432	432	that place			
Wannemacher-2011-736-433	433	is (location)	1579	BE	
Wannemacher-2011-736-434	434	work	1086	WORK (ACTIVITY)	
Wannemacher-2011-736-435	435	work	1086	WORK (ACTIVITY)	
Wannemacher-2011-736-436	436	said			
Wannemacher-2011-736-437	437	ok			
Wannemacher-2011-736-438	438	2nd per pl	1213	YOU	
Wannemacher-2011-736-439	439	2nd per pl accus	2312	YOU (OBLIQUE CASE OF YOU)	
Wannemacher-2011-736-440	440	2nd per sing poss	732	YOUR (SINGULAR)	
Wannemacher-2011-736-441	441	smell	2124	SMELL	
Wannemacher-2011-736-442	442	rib	801	RIB	
Wannemacher-2011-736-443	443	morning	1339	MORNING	
Wannemacher-2011-736-444	444	morning	1339	MORNING	
Wannemacher-2011-736-445	445	tomorrow	1329	TOMORROW	
Wannemacher-2011-736-446	446	horn of buffalo	1393	HORN (ANATOMY)	
Wannemacher-2011-736-447	447	shiver	52	SHIVER	
Wannemacher-2011-736-448	448	let	1003	PERMIT	
Wannemacher-2011-736-449	449	2nd per sing	1215	THOU	
Wannemacher-2011-736-450	450	2nd per sing accus	2304	THEE (OBLIQUE CASE OF YOU)	
Wannemacher-2011-736-451	451	here you are			
Wannemacher-2011-736-452	452	sink	1088	SINK (DESCEND)	
Wannemacher-2011-736-453	453	rest	168	REST	
Wannemacher-2011-736-454	454	sick	1847	SICK	
Wannemacher-2011-736-455	455	painful	1129	PAINFUL	
Wannemacher-2011-736-456	456	black	163	BLACK	
Wannemacher-2011-736-457	457	deep	1593	DEEP	
Wannemacher-2011-736-458	458	worship	257	WORSHIP	
Wannemacher-2011-736-459	459	buffalo	934	BUFFALO	
Wannemacher-2011-736-460	460	horn of buffalo	1393	HORN (ANATOMY)	
Wannemacher-2011-736-461	461	red	156	RED	
Wannemacher-2011-736-462	462	snail	1543	SNAIL	
Wannemacher-2011-736-463	463	cow	1007	COW	
Wannemacher-2011-736-464	464	very slow			
Wannemacher-2011-736-465	465	slow	701	SLOW	
Wannemacher-2011-736-466	466	whistle (v)	1025	WHISTLE	
Wannemacher-2011-736-467	467	lazy	1564	LAZY	
Wannemacher-2011-736-468	468	comfort			
Wannemacher-2011-736-469	469	wrestle			
Wannemacher-2011-736-470	470	angry	1826	ANGRY	
Wannemacher-2011-736-471	471	heart	1223	HEART	
Wannemacher-2011-736-472	472	3rd per sing poss	2092	HIS OR HER	
Wannemacher-2011-736-473	473	3rd per sing poss accus			
Wannemacher-2011-736-474	474	cut (hair)	2155	CUT (WITH SCISSORS)	
Wannemacher-2011-736-475	475	3rd per sing	262	HE OR SHE OR IT	
Wannemacher-2011-736-476	476	3rd per pl	817	THEY	
Wannemacher-2011-736-477	477	3rd per pl accus			
Wannemacher-2011-736-478	478	3rd per sing accus			
Wannemacher-2011-736-479	479	sharp	1396	SHARP	
Wannemacher-2011-736-480	480	green	1425	GREEN	
Wannemacher-2011-736-481	481	snore	1983	SNORE	
Wannemacher-2011-736-482	482	shout	715	SHOUT	
Wannemacher-2011-736-483	483	dirty	1230	DIRTY	
Wannemacher-2011-736-484	484	seven (people)	1704	SEVEN	
Wannemacher-2011-736-485	485	progressive tense			
Wannemacher-2011-736-486	486	live	2309	LIVE	
Wannemacher-2011-736-487	487	day	1225	DAY (NOT NIGHT)	
Wannemacher-2011-736-488	488	noon	2490	NOON	
Wannemacher-2011-736-489	489	gums	139	GUMS	
Wannemacher-2011-736-490	490	immerse			
Wannemacher-2011-736-491	491	short (height)	1645	SHORT	
Wannemacher-2011-736-492	492	bury (a corpse)	1719	BURY	
Wannemacher-2011-736-493	493	rested			
Wannemacher-2011-736-494	494	breath	870	BREATH	
Wannemacher-2011-736-495	495	nose	1221	NOSE	
Wannemacher-2011-736-496	496	sink	1088	SINK (DESCEND)	
Wannemacher-2011-736-497	497	mouth	674	MOUTH	
Wannemacher-2011-736-498	498	beard	678	BEARD	
Wannemacher-2011-736-499	499	younger sibling	427	YOUNGER SIBLING	
Wannemacher-2011-736-500	500	malaria			
Wannemacher-2011-736-501	501	cuff			
Wannemacher-2011-736-502	502	rest	168	REST	
Wannemacher-2011-736-503	503	cow	1007	COW	
Wannemacher-2011-736-504	504	buffalo	934	BUFFALO	
Wannemacher-2011-736-505	505	deaf	996	DEAF	
Wannemacher-2011-736-506	506	ear	1247	EAR	
Wannemacher-2011-736-507	507	milk	635	MILK	
Wannemacher-2011-736-508	508	selfish			
Wannemacher-2011-736-509	509	immature/weak	1601	WEAK	
Wannemacher-2011-736-510	510	quiet down			
Wannemacher-2011-736-511	511	1st per sing poss	2090	MY	
Wannemacher-2011-736-512	512	needle	1382	NEEDLE (FOR SEWING)	
Wannemacher-2011-736-513	513	count	1420	COUNT	
Wannemacher-2011-736-514	514	mist	249	FOG	
Wannemacher-2011-736-515	515	bite	1403	BITE	
Wannemacher-2011-736-516	516	weep	1839	CRY	
Wannemacher-2011-736-517	517	banana	868	BANANA	
Wannemacher-2011-736-518	518	1st per sing accus	2301	ME	
Wannemacher-2011-736-519	519	epilepsy			
Wannemacher-2011-736-520	520	bird	937	BIRD	
Wannemacher-2011-736-521	521	birdnest	539	NEST	
Wannemacher-2011-736-522	522	forehead	123	FOREHEAD	
Wannemacher-2011-736-523	523	small	1246	SMALL	
Wannemacher-2011-736-524	524	burn	2102	BURN	
Wannemacher-2011-736-525	525	silver	759	SILVER	
Wannemacher-2011-736-526	526	bald	1125	BALD	
Wannemacher-2011-736-527	527	blessed	2529	BLESSED	
Wannemacher-2011-736-528	528	hate	1607	HATE	
Wannemacher-2011-736-529	529	hate	1607	HATE	
Wannemacher-2011-736-530	530	stative (is)			
Wannemacher-2011-736-531	531	yes	1268	YES	
Wannemacher-2011-736-532	532	1st person sing	1209	I	
Wannemacher-2011-736-533	533	1st per pl	1212	WE	
Wannemacher-2011-736-534	534	fish	227	FISH	
Wannemacher-2011-736-535	535	bow	994	BOW	
Wannemacher-2011-736-536	536	sea	1474	SEA	
Wannemacher-2011-736-537	537	shallow	193	SHALLOW	
Wannemacher-2011-736-538	538	thin	2308	THIN	
Wannemacher-2011-736-539	539	flee	956	FLEE	
Wannemacher-2011-736-540	540	mend	2243	REPAIR	
Wannemacher-2011-736-541	541	dust	2	DUST	
Wannemacher-2011-736-542	542	butterfly	1791	BUTTERFLY	
Wannemacher-2011-736-543	543	sugar cane	146	SUGAR CANE	
Wannemacher-2011-736-544	544	mat	195	MAT	
Wannemacher-2011-736-545	545	destroy	681	DESTROY	
Wannemacher-2011-736-546	546	cut (hair)	2155	CUT (WITH SCISSORS)	
Wannemacher-2011-736-547	547	spicy	544	SPICY	
Wannemacher-2011-736-548	548	white	1335	WHITE	
Wannemacher-2011-736-549	549	alter			could be put under CHANGE, but to me is something you do to clothes that changes them, but not necessarily when they are brocken, thus different then REPAIR which Wannemacher also has
Wannemacher-2011-736-550	550	sad	699	SAD	
Wannemacher-2011-736-551	551	father	1217	FATHER	
Wannemacher-2011-736-552	552	frog	503	FROG	
Wannemacher-2011-736-553	553	winnow	2462	WINNOWING	
Wannemacher-2011-736-554	554	get away	1615	ESCAPE	
Wannemacher-2011-736-555	555	throw	1456	THROW	
Wannemacher-2011-736-556	556	generation			
Wannemacher-2011-736-557	557	comb	1475	COMB	He probably intends the verb, but there is no way to tell. Could potentially be resolved with comparative data. 
Wannemacher-2011-736-558	558	grind	1033	GRIND	
Wannemacher-2011-736-559	559	kneel	66	KNEEL	
Wannemacher-2011-736-560	560	knee	1371	KNEE	
Wannemacher-2011-736-561	561	to make rot (pickle)			I presume he means 'pickle, preserve' as a verb. I could file under PRESERVE, but that seems to be a much more abstract item. ' to make rot' is of course not something any human being can do. 
Wannemacher-2011-736-562	562	come	1446	COME	
Wannemacher-2011-736-563	563	accusative particle			
Wannemacher-2011-736-564	564	conjunction			
Wannemacher-2011-736-565	565	very quiet			
Wannemacher-2011-736-566	566	kill	1417	KILL	
Wannemacher-2011-736-567	567	extinguish	127	EXTINGUISH	
Wannemacher-2011-736-568	568	papaya	2445	PAPAYA	
Wannemacher-2011-736-569	569	walk	1443	WALK	
Wannemacher-2011-736-570	570	breathe	1407	BREATHE	
Wannemacher-2011-736-571	571	sneeze	1621	SNEEZE	
Wannemacher-2011-736-572	572	drown	1904	DROWN	
Wannemacher-2011-736-573	573	ghost	1175	GHOST	
Wannemacher-2011-736-574	574	branch	1531	BRANCH	
Wannemacher-2011-736-575	575	back	1291	BACK	
Wannemacher-2011-736-576	576	know	1410	KNOW (SOMETHING)	
Wannemacher-2011-736-577	577	leaf	628	LEAF	
Wannemacher-2011-736-578	578	tree	906	TREE	
Wannemacher-2011-736-579	579	root	670	ROOT	
Wannemacher-2011-736-580	580	bark	1204	BARK	
Wannemacher-2011-736-581	581	rainbow	1733	RAINBOW	
Wannemacher-2011-736-582	582	liver	1224	LIVER	
Wannemacher-2011-736-583	583	sand	671	SAND	
Wannemacher-2011-736-584	584	others			
Wannemacher-2011-736-585	585	count	1420	COUNT	
Wannemacher-2011-736-586	586	think	2271	THINK	
Wannemacher-2011-736-587	587	wipe	1454	WIPE	
Wannemacher-2011-736-588	588	three (people)	492	THREE	
Wannemacher-2011-736-589	589	too much			
Wannemacher-2011-736-590	590	one who (rel pro)			
Wannemacher-2011-736-591	591	blood	946	BLOOD	
Wannemacher-2011-736-592	592	establish			
Wannemacher-2011-736-593	593	side, bank			perhaps the concepticon needs to introduce a join concept
Wannemacher-2011-736-594	594	thigh	800	THIGH	
Wannemacher-2011-736-595	595	turtle	112	TURTLE	
Wannemacher-2011-736-596	596	forget	1523	FORGET	
Wannemacher-2011-736-597	597	curse	8	CURSE	
Wannemacher-2011-736-598	598	cold (object)	1287	COLD	
Wannemacher-2011-736-599	599	narrow	1267	NARROW	
Wannemacher-2011-736-600	600	near	1942	NEAR	
Wannemacher-2011-736-601	601	cook (rice)	1100	COOK (SOMETHING)	
Wannemacher-2011-736-602	602	cloud	1489	CLOUD	
Wannemacher-2011-736-603	603	rub, scrub	1449	RUB	
Wannemacher-2011-736-604	604	locust	810	LOCUST	
Wannemacher-2011-736-605	605	make complete, suck	1421	SUCK	
Wannemacher-2011-736-606	606	love	923	LOVE	
Wannemacher-2011-736-607	607	betel nut	2369	BETEL NUT	
Wannemacher-2011-736-608	608	disciple	753	PUPIL (STUDENT)	
Wannemacher-2011-736-609	609	follow	1085	FOLLOW	
Wannemacher-2011-736-610	610	pestle	225	PESTLE	
Wannemacher-2011-736-611	611	ginger	2500	GINGER	
Wannemacher-2011-736-612	612	sweet	717	SWEET	
Wannemacher-2011-736-613	613	dip food in hot water			
Wannemacher-2011-736-614	614	widow	1756	WIDOW	
Wannemacher-2011-736-615	615	navel	1838	NAVEL	
Wannemacher-2011-736-616	616	what	1236	WHAT	
Wannemacher-2011-736-617	617	launder	2503	LAUNDER	
Wannemacher-2011-736-618	618	wash	1453	WASH	
Wannemacher-2011-736-619	619	pay	718	PAY	
Wannemacher-2011-736-620	620	place	723	PLACE (POSITION)	
Wannemacher-2011-736-621	621	dark	706	DARK	
Wannemacher-2011-736-622	622	sew	1457	SEW	
Wannemacher-2011-736-623	623	buttocks	834	BUTTOCKS	
Wannemacher-2011-736-624	624	sour	1906	SOUR	
Wannemacher-2011-736-625	625	smooth	1234	SMOOTH	
Wannemacher-2011-736-626	626	wet	1726	WET	
Wannemacher-2011-736-627	627	dye (cloth)	157	DYE	
Wannemacher-2011-736-628	628	tell	1711	TELL	
Wannemacher-2011-736-629	629	many	1198	MANY	
Wannemacher-2011-736-630	630	hard	1884	HARD	
Wannemacher-2011-736-631	631	mat	195	MAT	
Wannemacher-2011-736-632	632	edge	863	EDGE	
Wannemacher-2011-736-633	633	firewood	10	FIREWOOD	
Wannemacher-2011-736-634	634	end	742	END (OF SPACE)	Wannemacher offers no way to distinguish these two, perhaps they can later be distinguished using cognates. 
Wannemacher-2011-736-635	635	finish (v)	1766	FINISH	
Wannemacher-2011-736-636	636	last	1529	LAST (FINAL)	Wannemacher offers no way to distinguish these two, perhaps they can later be distinguished using cognates. 
Wannemacher-2011-736-637	637	stab	1434	STAB	
Wannemacher-2011-736-638	638	on to			
Wannemacher-2011-736-639	639	from above			
Wannemacher-2011-736-640	640	sharp	1396	SHARP	
Wannemacher-2011-736-641	641	upstairs			
Wannemacher-2011-736-642	642	exchange	2509	EXCHANGE	
Wannemacher-2011-736-643	643	there	1937	THERE	
Wannemacher-2011-736-644	644	kick	1135	KICK	
Wannemacher-2011-736-645	645	poke			
Wannemacher-2011-736-646	646	dirty	1230	DIRTY	
Wannemacher-2011-736-647	647	pound (rice)	354	POUND	
Wannemacher-2011-736-648	648	cut down	355	CUT DOWN	
Wannemacher-2011-736-649	649	carry on donkey			
Wannemacher-2011-736-650	650	go out	1107	GO OUT	
Wannemacher-2011-736-651	651	thick	1244	THICK	
Wannemacher-2011-736-652	652	that person over there			
Wannemacher-2011-736-653	653	knife	1352	KNIFE	
Wannemacher-2011-736-654	654	mud	640	MUD	
Wannemacher-2011-736-655	655	tie	1917	TIE	
Wannemacher-2011-736-656	656	deer	1936	DEER	
Wannemacher-2011-736-657	657	plant	1486	PLANT (SOMETHING)	
Wannemacher-2011-736-658	658	hair	1040	HAIR	
Wannemacher-2011-736-659	659	repay			
Wannemacher-2011-736-660	660	elephant	1290	ELEPHANT	
Wannemacher-2011-736-661	661	elephant tusk	2495	ELEPHANT TUSK	
Wannemacher-2011-736-662	662	human	683	PERSON	
Wannemacher-2011-736-663	663	dye (cloth)	157	DYE	
Wannemacher-2011-736-664	664	wall of house	933	WALL (OF HOUSE)	
Wannemacher-2011-736-665	665	mortar	1731	MORTAR BINDER	
Wannemacher-2011-736-666	666	fat	2449	FAT (OF MEAT AND FOOD)	
Wannemacher-2011-736-667	667	salt	1274	SALT	
Wannemacher-2011-736-668	668	note down			
Wannemacher-2011-736-669	669	all, many	2650	ALL OR MANY	concepticon may have to add a cover for these two
Wannemacher-2011-736-670	670	gather together			
Wannemacher-2011-736-671	671	lungs	688	LUNG	
Wannemacher-2011-736-672	672	build	1840	BUILD	
Wannemacher-2011-736-673	673	sit	1416	SIT	
Wannemacher-2011-736-674	674	left	244	LEFT	
Wannemacher-2011-736-675	675	get up	1602	WAKE UP	
Wannemacher-2011-736-676	676	intestines	1991	INTESTINES	
Wannemacher-2011-736-677	677	enter	749	ENTER	
Wannemacher-2011-736-678	678	love	923	LOVE	
Wannemacher-2011-736-679	679	delight in			
Wannemacher-2011-736-680	680	far	1406	FAR	
Wannemacher-2011-736-681	681	bamboo shoot	2494	BAMBOO SHOOT	
Wannemacher-2011-736-682	682	stick	1295	STICK	
Wannemacher-2011-736-683	683	village	930	VILLAGE	
Wannemacher-2011-736-684	684	at the time			
Wannemacher-2011-736-685	685	pillow	1044	PILLOW	
Wannemacher-2011-736-686	686	brain	1583	BRAIN	
Wannemacher-2011-736-687	687	head	1256	HEAD	
Wannemacher-2011-736-688	688	bald	1125	BALD	
Wannemacher-2011-736-689	689	type of bamboo			
Wannemacher-2011-736-690	690	wear	976	WEAR	
Wannemacher-2011-736-691	691	abdomen	1251	BELLY	
Wannemacher-2011-736-692	692	cooked rice	1191	COOKED RICE	
Wannemacher-2011-736-693	693	plate	480	PLATE	
Wannemacher-2011-736-694	694	cooking pot	1462	POT	
Wannemacher-2011-736-695	695	to dare	1779	DARE	
Wannemacher-2011-736-696	696	bear (n)	1820	BEAR	
Wannemacher-2011-736-697	697	city	2547	CITY	
Wannemacher-2011-736-698	698	bamboo	1927	BAMBOO	
Wannemacher-2011-736-699	699	carry	700	CARRY	
Wannemacher-2011-736-700	700	pig	1337	PIG	
Wannemacher-2011-736-701	701	bear (n)	1820	BEAR	
Wannemacher-2011-736-702	702	hate	1607	HATE	
Wannemacher-2011-736-703	703	seed	714	SEED	
Wannemacher-2011-736-704	704	different (NEG-same)	2504	DIFFERENT	
Wannemacher-2011-736-705	705	all sorts of			
Wannemacher-2011-736-706	706	type			
Wannemacher-2011-736-707	707	from inside			
Wannemacher-2011-736-708	708	unhealthy (NEG-healthy)	1847	SICK	
Wannemacher-2011-736-709	709	way	488	MANNER	
Wannemacher-2011-736-710	710	ignorant (NEG-know)	2651	BE IGNORANT	
Wannemacher-2011-736-711	711	blunt (NEG-sharp)	379	BLUNT	
Wannemacher-2011-736-712	712	future tense			
Wannemacher-2011-736-713	713	wrong (NEG-correct)	1390	WRONG	
Wannemacher-2011-736-714	714	chapter	835	CHAPTER	
Wannemacher-2011-736-715	715	seed	714	SEED	
Wannemacher-2011-736-716	716	elder sibling	405	OLDER SIBLING	
Wannemacher-2011-736-717	717	shadow	2275	SHADOW	
Wannemacher-2011-736-718	718	branch	1531	BRANCH	
Wannemacher-2011-736-719	719	bad (NEG-good)	1292	BAD	
Wannemacher-2011-736-720	720	chin	1510	CHIN	
Wannemacher-2011-736-721	721	chin	1510	CHIN	
Wannemacher-2011-736-722	722	from inside			
Wannemacher-2011-736-723	723	new	1231	NEW	
Wannemacher-2011-736-724	724	shallow	193	SHALLOW	
Wannemacher-2011-736-725	725	father (voc)	1217	FATHER	
Wannemacher-2011-736-726	726	foolish	1518	STUPID	
Wannemacher-2011-736-727	727	round about			
Wannemacher-2011-736-728	728	now	1376	NOW	
Wannemacher-2011-736-729	729	feather	1201	FEATHER	
Wannemacher-2011-736-730	730	dirty	1230	DIRTY	
Wannemacher-2011-736-731	731	old	1229	OLD	
Wannemacher-2011-736-732	732	unwilling			
Wannemacher-2011-736-733	733	father (vocative)	1217	FATHER	
Wannemacher-2011-736-734	734	yesterday	1174	YESTERDAY	
Wannemacher-2011-736-735	735	two (people)	1498	TWO	
Wannemacher-2011-736-736	736	sell	1571	SELL	
